City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Mar Del Plata,AR,-38.0023,-57.5575,50.09,69,75,18.41,broken clouds
202,Kidal,ML,18.4411,1.4078,101.84,16,25,9.57,scattered clouds
203,Peleduy,RU,59.6289,112.7406,38.03,94,38,5.1,scattered clouds
204,Vire,FR,48.9167,-0.8333,65.59,80,98,14.67,overcast clouds
205,Wanning,CN,18.8003,110.3967,80.06,87,83,4.79,broken clouds
206,Severo-Kurilsk,RU,50.6789,156.125,52.03,95,64,11.34,broken clouds
207,Golden,US,39.7555,-105.2211,66.2,66,0,1.01,clear sky
208,Soe,ID,-9.8607,124.284,62.42,80,3,3.49,clear sky
209,Havelock,US,34.8791,-76.9013,84.18,75,100,12.66,overcast clouds
210,Bend,US,44.0582,-121.3153,64.45,31,0,4.61,clear sky
211,Anshun,CN,26.25,105.9333,64.06,85,100,3.51,overcast clouds
212,Wakkanai,JP,45.4094,141.6739,62.58,52,0,2.08,clear sky
213,Bandarbeyla,SO,9.4942,50.8122,77.23,85,79,27.87,broken clouds
214,Gavle,SE,60.6745,17.1417,57.38,59,87,1.01,overcast clouds
215,Sao Felix Do Xingu,BR,-6.6447,-51.995,99.41,23,99,4.5,overcast clouds
216,Avarua,CK,-21.2078,-159.775,71.65,88,15,4.61,few clouds
217,Taoudenni,ML,22.6783,-3.9836,111.54,7,8,13.6,clear sky
218,Huarmey,PE,-10.0681,-78.1522,67.5,68,19,11.43,few clouds
219,Husavik,IS,66.0449,-17.3389,61.39,62,49,7.65,scattered clouds
220,Sturlic,BA,45.0639,15.7781,65.1,86,54,2.86,broken clouds
221,Muzhi,RU,65.3667,64.6667,42.73,66,100,4.03,overcast clouds
222,Ilulissat,GL,69.2167,-51.1,46.42,71,75,4.61,broken clouds
223,Hailey,US,43.5196,-114.3153,60.89,34,100,8.05,smoke
224,Madang,PG,-5.2246,145.7966,76.23,90,80,3.18,broken clouds
225,Tevaitoa,PF,-16.7833,-151.5,77.99,76,8,21.3,light rain
226,Bouca,CF,6.5105,18.2733,72.37,95,88,0.72,light rain
227,Kamenka,RU,51.3223,42.7678,45.73,68,60,8.21,broken clouds
228,Ketchikan,US,55.3422,-131.6461,55.87,94,100,3.44,overcast clouds
229,Kudahuvadhoo,MV,2.6708,72.8944,82.58,74,100,12.35,overcast clouds
230,Maracaibo,VE,10.6317,-71.6406,89.37,55,66,2.77,broken clouds
231,Derbent,RU,42.0678,48.2899,69.78,67,80,2.73,broken clouds
232,Chagoda,RU,59.164,35.3285,43.07,79,33,3.13,scattered clouds
233,Xining,CN,36.6167,101.7667,52.9,54,3,2.01,clear sky
234,Waitati,NZ,-45.75,170.5667,43.81,83,21,2.84,few clouds
235,Okakarara,NA,-20.5833,17.4333,77.16,16,0,6.26,clear sky
236,Baikunthpur,IN,23.25,82.55,75.9,85,100,3.74,overcast clouds
237,Lepe,ES,37.2548,-7.2043,86.2,46,26,12.82,scattered clouds
238,Castro,BR,-24.7911,-50.0119,80.24,44,28,11.52,scattered clouds
239,Gamba,GA,-2.65,10.0,75.4,84,98,9.57,overcast clouds
240,Paamiut,GL,61.994,-49.6678,42.49,84,99,2.37,overcast clouds
241,Acapulco,MX,16.8634,-99.8901,84.47,70,96,9.66,overcast clouds
242,Leshukonskoye,RU,64.8989,45.7622,45.68,94,100,8.86,overcast clouds
243,Santa Ines,BR,-3.6667,-45.38,94.87,33,47,9.66,scattered clouds
244,Guadalajara,MX,20.6667,-103.3333,70.99,100,100,0.0,overcast clouds
245,Jati,PK,24.3539,68.2671,92.46,54,48,6.49,scattered clouds
246,Fort Morgan,US,40.2503,-103.8,61.45,59,100,13.8,overcast clouds
247,Tuatapere,NZ,-46.1333,167.6833,37.81,94,68,3.51,broken clouds
248,Lazaro Cardenas,MX,17.9583,-102.2,82.15,80,100,7.16,overcast clouds
249,Bambous Virieux,MU,-20.3428,57.7575,71.22,73,40,11.5,scattered clouds
250,Vanimo,PG,-2.6741,141.3028,76.91,89,77,4.0,broken clouds
251,Parfino,RU,57.9731,31.6481,46.06,71,5,3.31,clear sky
252,Pomabamba,PE,-8.8333,-77.4667,62.04,33,13,6.89,few clouds
253,Hibbing,US,47.4272,-92.9377,58.42,94,100,10.36,overcast clouds
254,Broken Hill,AU,-31.95,141.4333,48.04,88,9,14.47,clear sky
255,Vao,NC,-22.6667,167.4833,71.64,83,100,10.96,overcast clouds
256,Margate,GB,51.3813,1.3862,68.31,84,62,4.0,broken clouds
257,Gudari,IN,19.35,83.7833,78.17,91,93,3.65,very heavy rain
258,Bathsheba,BB,13.2167,-59.5167,88.41,70,40,14.97,scattered clouds
259,Caravelas,BR,-17.7125,-39.2481,78.4,50,16,10.74,few clouds
260,Namatanai,PG,-3.6667,152.4333,78.46,78,98,7.29,overcast clouds
261,Ovada,IT,44.6384,8.6453,77.4,55,2,2.44,clear sky
262,Pangai,TO,-19.8,-174.35,76.77,66,83,16.35,broken clouds
263,Dambulla,LK,7.86,80.6517,76.82,74,92,12.71,overcast clouds
264,Gobabis,NA,-22.45,18.9667,77.32,15,0,8.3,clear sky
265,Mehamn,NO,71.0357,27.8492,49.91,93,75,12.66,broken clouds
266,Longhua,CN,23.6137,114.1919,77.16,85,23,2.13,few clouds
267,Pacific Grove,US,36.6177,-121.9166,65.88,86,0,7.0,haze
268,Huilong,CN,31.8111,121.655,74.93,70,100,6.62,overcast clouds
269,Saint Joseph,US,39.7686,-94.8466,82.56,57,0,8.05,clear sky
270,Vostok,RU,46.4856,135.8833,43.66,83,4,3.04,clear sky
271,Necochea,AR,-38.5473,-58.7368,47.41,61,99,21.94,overcast clouds
272,Grindavik,IS,63.8424,-22.4338,53.55,100,100,10.36,overcast clouds
273,Caxito,AO,-8.5785,13.6643,74.71,74,77,10.74,broken clouds
274,Hofn,IS,64.2539,-15.2082,53.62,94,100,8.05,mist
275,Taitung,TW,22.7583,121.1444,77.05,80,29,9.26,scattered clouds
276,Sitka,US,57.0531,-135.33,55.29,88,100,5.75,overcast clouds
277,Sur,OM,22.5667,59.5289,81.95,67,16,7.29,few clouds
278,Okha,RU,53.5739,142.9478,52.02,68,55,14.03,broken clouds
279,Upernavik,GL,72.7868,-56.1549,41.31,92,100,18.37,light rain
280,Kentau,KZ,43.5206,68.5094,71.11,24,22,7.31,few clouds
281,Nouakchott,MR,18.0858,-15.9785,84.49,74,57,13.89,broken clouds
282,Stokmarknes,NO,68.5646,14.9108,49.96,81,75,2.3,broken clouds
283,Jorhat,IN,26.75,94.2167,75.42,84,98,3.38,overcast clouds
284,Anito,PH,12.4497,125.2886,77.16,91,100,6.29,overcast clouds
285,Dashitou,CN,43.3067,128.5114,57.92,90,0,3.02,clear sky
286,Puerto Penasco,MX,31.3167,-113.5333,83.88,69,92,32.01,overcast clouds
287,Isangel,VU,-19.55,169.2667,74.08,89,100,12.3,overcast clouds
288,Eyl,SO,7.9803,49.8164,78.01,80,97,24.43,overcast clouds
289,Verkhoyansk,RU,67.5447,133.385,39.38,92,95,2.35,overcast clouds
290,Alekseyevka,RU,50.6309,38.6903,48.67,52,19,7.07,few clouds
291,Pevek,RU,69.7008,170.3133,41.25,70,10,16.93,clear sky
292,Koumac,NC,-20.5667,164.2833,71.02,83,60,6.85,broken clouds
293,Sar-E Pul,AF,35.8333,66.1667,66.4,28,0,4.83,clear sky
